Reservoir,Longitude_1,Latitude_1,Longitude_2,Latitude_2
Reservoir 1,103.3880548,36.12228251,103.3860743,36.12153083
Reservoir 2,100.831189,36.17941596,100.8320806,36.17703722
Reservoir 3,101.7569554,36.174457,101.7587886,36.17306687
Reservoir 3,101.7316901,36.1627906,101.7319417,36.16207756
Reservoir 3,101.7435966,36.15933579,101.7469889,36.15780829
Reservoir 4,103.1890313,35.97444916,103.1948144,35.97370529
Reservoir 4,103.235067,35.96061325,103.2388131,35.95859528
Reservoir 5,103.3479194,35.92288683,103.3497922,35.9192513
Reservoir 6,104.7840251,30.86483127,104.7834673,30.86374864
Reservoir 7,104.2513415,30.33057243,104.2543004,30.32894619
Reservoir 8,104.0421861,30.13606454,104.0442369,30.13413642
Reservoir 8,104.040722,30.05621123,104.0405581,30.05214722
Reservoir 9,104.9051656,29.56171047,104.9068231,29.56031942
Reservoir 10,103.4704283,29.32425863,103.4720806,29.32041389
Reservoir 11,103.6424713,29.19114515,103.6402278,29.18788189
Reservoir 12,90.58789304,29.18791945,90.58958154,29.1867749
Reservoir 12,90.67774927,29.05727871,90.6771046,29.0542237
Reservoir 12,90.71328611,28.94662767,90.71135882,28.94514974
Reservoir 12,90.62818499,28.88914395,90.62892216,28.88713671
Reservoir 12,90.61399099,28.8876652,90.61327403,28.88835402
Reservoir 12,90.58017589,28.81271145,90.58136248,28.8125
Reservoir 12,90.89731429,28.95497186,90.89761872,28.95263713
Reservoir 12,90.84760468,28.95290887,90.84591625,28.95434516
Reservoir 12,90.87693126,28.90117608,90.87759824,28.90031196
Reservoir 12,90.99247359,28.95722222,90.99450518,28.95954753
Reservoir 12,90.88509458,28.99487969,90.88330496,28.99692844
Reservoir 13,103.7947094,28.41319763,103.7954025,28.41070541
Reservoir 14,101.9541062,27.33687012,101.9537527,27.33539198
Reservoir 14,101.642891,26.96508355,101.6416319,26.9654088
Reservoir 14,101.5542902,26.92146729,101.5532385,26.92179009
Reservoir 14,101.4937872,26.89858263,101.4919661,26.89930013
Reservoir 15,103.4312812,26.37319092,103.4324715,26.37257785
Reservoir 16,103.7475041,25.46059462,103.7485422,25.46011827
Reservoir 17,104.1439103,25.33762392,104.1425771,25.33639671
Reservoir 18,101.4124,25.24204102,101.4123504,25.24120931
Reservoir 19,102.8647205,25.20895991,102.8643785,25.2066342
Reservoir 19,102.7909081,25.15739992,102.7919466,25.1563711
Reservoir 20,104.624268,24.89957358,104.6226229,24.8974984
Reservoir 21,100.3037652,24.76341933,100.3088087,24.76337534
Reservoir 22,119.6997195,42.74999729,119.7020003,42.748581
Reservoir 23,117.8465837,41.73531386,117.8475806,41.73496474
Reservoir 24,119.7652751,40.74502984,119.7624637,40.74029677
Reservoir 25,116.8725172,40.58729601,116.8761084,40.58622803
Reservoir 25,116.919292,40.51438015,116.9247169,40.5072168
Reservoir 25,116.9880153,40.52036621,116.9897384,40.51722765
Reservoir 25,116.9937835,40.51526747,116.9922119,40.51362142
Reservoir 25,116.9597017,40.50808133,116.9590057,40.51120822
Reservoir 25,116.9549122,40.51056071,116.9553682,40.51222683
Reservoir 25,116.9519598,40.51220676,116.9527625,40.51370633
Reservoir 25,116.961529,40.50970785,116.9631944,40.50958333
Reservoir 25,116.9588972,40.50407986,116.9586214,40.50139676
Reservoir 25,116.9594062,40.4995874,116.9580887,40.50028456
Reservoir 25,116.8955116,40.49001709,116.8965278,40.48875
Reservoir 25,116.9000103,40.46781223,116.9020833,40.46763889
Reservoir 26,118.9691848,40.47675483,118.9686241,40.4744553
Reservoir 27,116.6704129,40.40272461,116.6718243,40.40057183
Reservoir 28,118.3319925,40.44167426,118.3345318,40.44162218
Reservoir 29,116.6011483,40.33958279,116.6037501,40.3374452
Reservoir 30,106.9527941,40.20197301,106.9427811,40.19585504
Reservoir 31,115.886305,40.4645147,115.8858143,40.46361382
Reservoir 31,115.8687109,40.44884657,115.8682012,40.44686062
Reservoir 31,115.8747669,40.44601183,115.8761087,40.44555257
Reservoir 32,118.2716797,40.34144586,118.271122,40.33817708
Reservoir 32,118.281371,40.32192654,118.2820833,40.32152778
Reservoir 33,119.0575236,40.22850162,119.0558119,40.22587356
Reservoir 34,119.6702854,40.04707899,119.672564,40.04584093
Reservoir 35,117.5832007,40.07580669,117.5804715,40.06739828
Reservoir 36,118.1559446,40.01398546,118.160762,40.01360026
Reservoir 36,118.1719013,40.00125868,118.1734722,40.00097222
Reservoir 37,113.7036625,39.98496624,113.7113513,39.98156675
Reservoir 38,111.4116723,39.82520345,111.4093123,39.8228435
Reservoir 39,115.2161048,39.30493944,115.217225,39.3011388
Reservoir 40,114.8194255,38.82780694,114.8198611,38.82696113
Reservoir 40,114.7427957,38.75824707,114.7443056,38.75763889
Reservoir 40,114.7465413,38.74494073,114.7458485,38.74419298
Reservoir 40,114.7462712,38.73165636,114.743961,38.72889852
Reservoir 41,114.3691257,38.81220771,114.3742261,38.81130141
Reservoir 41,114.4427935,38.74795614,114.4436011,38.74748142
Reservoir 42,109.3198066,38.60171617,109.3250944,38.5997678
Reservoir 43,114.1564646,38.58048828,114.1559747,38.57905707
Reservoir 44,113.9986165,38.39125556,113.9998022,38.38944716
Reservoir 44,113.9778076,38.34499702,113.9795833,38.34486111
Reservoir 44,113.9823277,38.34553263,113.9814117,38.34387722
Reservoir 44,113.9839331,38.34304023,113.9814849,38.34160102
Reservoir 45,114.2376709,38.31876373,114.2450256,38.31194687
Reservoir 46,105.974906,37.82692771,105.9724983,37.82283458
Reservoir 47,109.0772806,36.94493605,109.0806222,36.94251169
Reservoir 48,112.7759041,36.59359185,112.7757937,36.59080431
Reservoir 48,112.8001975,36.5659337,112.8009722,36.56569444
Reservoir 49,118.1427613,36.53180844,118.1420242,36.53103461
Reservoir 50,117.5772984,36.43968723,117.5797176,36.43684733
Reservoir 51,114.2569499,36.42482747,114.2577832,36.42361654
Reservoir 51,114.3120888,36.40420085,114.31375,36.40402778
Reservoir 52,112.6691827,36.32890489,112.6697594,36.32828234
Reservoir 53,114.1700909,36.30555094,114.1725317,36.30358046
Reservoir 54,118.045473,36.18808649,118.0467017,36.18694129
Reservoir 55,118.6255482,36.06365028,118.6262141,36.06364124
Reservoir 56,118.5613653,35.93129042,118.5613976,35.92970812
Reservoir 57,117.6026659,35.87951593,117.5995854,35.87573254
Reservoir 58,118.8193283,35.88891683,118.8213845,35.8888973
Reservoir 59,118.9800827,35.78155924,118.9806402,35.78104302
Reservoir 60,111.6032387,35.65791716,111.6075169,35.65699315
Reservoir 61,117.2198962,35.49098697,117.2181164,35.48687306
Reservoir 62,117.5112679,35.44194173,117.5129359,35.44081109
Reservoir 63,117.0336023,35.41084527,117.0363921,35.4106212
Reservoir 64,118.9063854,35.37594293,118.9103201,35.37408583
Reservoir 65,117.8755501,35.1827832,117.8719499,35.1772168
Reservoir 66,118.9255469,34.9752701,118.9273617,34.97500781
Reservoir 67,111.8875027,35.09139167,111.8886085,35.09055267
Reservoir 67,112.2062223,34.96860078,112.2057274,34.96642245
Reservoir 68,117.7943874,34.90713943,117.800398,34.90329778
Reservoir 69,111.1615278,34.82430556,111.1610174,34.82375783
Reservoir 69,111.1288786,34.79748966,111.1290278,34.79736111
Reservoir 69,110.560791,34.59450912,110.5497894,34.5918541
Reservoir 69,110.5393219,34.59066772,110.539238,34.59385681
Reservoir 69,110.3527679,34.60716629,110.3420792,34.61018372
Reservoir 69,110.3242874,34.60972214,110.326416,34.61142731
Reservoir 69,110.3484573,34.61287308,110.358345,34.60928345
Reservoir 69,110.2821884,34.61812973,110.2746506,34.63336182
Reservoir 69,110.2459259,34.81890106,110.2446747,34.81969833
Reservoir 69,110.2610855,34.8247757,110.2535019,34.83641815
Reservoir 69,110.2855988,34.88265228,110.2848434,34.88455582
Reservoir 69,110.2626419,34.9491272,110.2619095,34.95275116
Reservoir 69,110.2800827,34.9928093,110.2785721,34.9957695
Reservoir 69,110.295311,35.00918961,110.2945938,35.01380157
Reservoir 69,110.3064194,35.01544571,110.3120422,35.01351166
Reservoir 69,110.3698425,35.16484833,110.3645554,35.18105698
Reservoir 69,110.3705063,35.18109131,110.3722916,35.18023682
Reservoir 70,118.7998318,34.81435871,118.7994279,34.81359524
Reservoir 70,118.7978171,34.81193412,118.7975103,34.80863442
Reservoir 71,107.1752751,34.62471944,107.1793713,34.6223407
Reservoir 71,107.1844598,34.60061083,107.1851389,34.60041667
Reservoir 72,107.2411595,34.45653629,107.2434993,34.45489695
Reservoir 73,118.7432075,34.45164934,118.7436032,34.44925639
Reservoir 73,118.7272168,34.39916138,118.7285701,34.39749851
Reservoir 74,113.2308388,34.36694973,113.2319499,34.36556085
Reservoir 75,112.7592509,33.77670607,112.7609314,33.77363807
Reservoir 76,113.1676476,33.76481527,113.1686084,33.76416395
Reservoir 76,113.1715416,33.75503906,113.1745833,33.75486111
Reservoir 76,113.1758979,33.74073161,113.1741715,33.74026923
Reservoir 76,113.1751343,33.7311008,113.1730184,33.73032376
Reservoir 77,112.477985,33.38268365,112.4804929,33.3813916
Reservoir 77,112.5543934,33.32804335,112.5551389,33.32791667
Reservoir 78,113.5505528,33.28083333,113.5505634,33.28031277
Reservoir 79,118.5263376,33.63347222,118.5267516,33.63226251
Reservoir 79,118.518064,33.62472412,118.5180358,33.62333605
Reservoir 79,118.5041252,33.62149943,118.5038482,33.62499729
Reservoir 79,118.508323,33.63221191,118.5077205,33.63317369
Reservoir 79,118.6704378,33.44426066,118.6709223,33.44172282
Reservoir 79,118.8630452,33.34693414,118.8643056,33.34680556
Reservoir 79,118.8547968,33.34582303,118.8536214,33.34498969
Reservoir 79,118.4740164,33.31613661,118.4751478,33.32700507
Reservoir 79,118.8370833,33.31498969,118.8346503,33.31297729
Reservoir 79,118.4493056,33.32625,118.449177,33.32917697
Reservoir 79,118.4852599,33.31720432,118.4868056,33.31708333
Reservoir 79,118.4312725,33.29784261,118.4292936,33.29918416
Reservoir 79,118.8180897,33.29046265,118.8195833,33.28986111
Reservoir 79,118.8130683,33.28612305,118.8143056,33.28541667
Reservoir 79,118.8126717,33.28550212,118.8109068,33.28580594
Reservoir 79,118.5727783,33.2342494,118.5748611,33.23402778
Reservoir 79,118.3860289,33.22720812,118.3851495,33.22832045
Reservoir 79,118.3347933,33.21057088,118.3359722,33.21041667
Reservoir 79,118.2687318,33.20210693,118.2679696,33.20489258
Reservoir 79,118.4227856,33.15238946,118.4233775,33.15073961
Reservoir 79,118.422733,33.14319444,118.4228461,33.14178955
Reservoir 79,118.6493907,33.2335574,118.6498611,33.23319444
Reservoir 79,118.5935162,33.19755317,118.5947358,33.19692491
Reservoir 79,118.6077886,33.20457967,118.609289,33.20653632
Reservoir 79,118.6107598,33.2047267,118.6115278,33.20458333
Reservoir 79,118.6347401,33.18165012,118.6353456,33.18067803
Reservoir 79,118.6752932,33.14307088,118.6742744,33.14331801
Reservoir 80,107.9804366,33.1012519,107.9853247,33.08939848
Reservoir 81,113.5345969,33.01221053,113.5365867,33.00893289
Reservoir 82,114.2020272,33.08619385,114.2024948,33.08471653
Reservoir 82,114.2125228,33.08363403,114.212755,33.08275486
Reservoir 82,114.2440904,33.07436808,114.2445833,33.07402778
Reservoir 82,114.264697,32.97027317,114.2654167,32.97013889
Reservoir 82,114.2783282,32.97481445,114.2776506,32.97466254
Reservoir 83,113.5158807,32.78153856,113.5156949,32.77936028
Reservoir 84,113.8892003,32.66913981,113.8907723,32.66599257
Reservoir 85,108.7911757,32.62077175,108.7951052,32.61600113
Reservoir 86,111.5388916,32.82583605,111.5410594,32.82528049
Reservoir 86,111.556672,32.6952832,111.5569392,32.6943476
Reservoir 86,111.376366,32.57525499,111.3759722,32.57580431
Reservoir 86,111.3464034,32.5976614,111.3481524,32.59853977
Reservoir 86,111.3218355,32.57433702,111.3229167,32.57402778
Reservoir 87,105.5018944,32.74222128,105.5031616,32.74104473
Reservoir 87,105.5261922,32.70079911,105.522134,32.69674095
Reservoir 88,118.9875955,32.50897027,118.9872138,32.5074802
Reservoir 89,111.9043888,32.45336554,111.9052702,32.45298389
Reservoir 90,111.84658,32.33250895,111.8481196,32.33253011
Reservoir 91,118.0664581,32.25651476,118.0675369,32.25581814
Reservoir 91,118.0609345,32.21898627,118.0618056,32.21875
Reservoir 92,110.2508985,32.18528442,110.2520973,32.18473522
Reservoir 93,113.1026021,32.16700352,113.1063225,32.16643114
Reservoir 94,113.8927805,32.13028049,113.894164,32.12916395
Reservoir 94,113.9568156,32.10926676,113.9575054,32.10886122
Reservoir 94,113.9701123,32.09963813,113.9718056,32.09875
Reservoir 95,119.1722,32.10439887,119.1724173,32.10075684
Reservoir 96,119.264974,32.08168783,119.2651378,32.07893636
Reservoir 97,114.3651384,32.03288389,114.3661774,32.03121684
Reservoir 97,114.3697808,32.00224697,114.3676988,31.99882647
Reservoir 98,117.4017692,32.06458822,117.4038216,32.06301432
Reservoir 99,113.408189,32.06124457,113.4089087,32.06055284
Reservoir 100,112.6585605,31.92918278,112.6611213,31.92851475
Reservoir 101,117.1978619,31.90693468,117.1987836,31.90639431
Reservoir 102,119.2227471,31.89753418,119.219177,31.89526747
Reservoir 103,114.635836,31.87944716,114.6369586,31.87776964
Reservoir 103,114.6521452,31.85771647,114.6516037,31.85582248
Reservoir 104,113.5769675,31.83611816,113.5734242,31.83341526
Reservoir 104,113.5558602,31.81749702,113.555485,31.81970432
Reservoir 104,113.5314971,31.80635824,113.5310696,31.8073725
Reservoir 105,115.3369309,31.79058892,115.3391873,31.78634196
Reservoir 106,114.9130583,31.78500271,114.9136084,31.78470812
Reservoir 107,111.7700027,31.79320394,111.7706295,31.79271512
Reservoir 107,111.8006921,31.76146349,111.8023611,31.76125
Reservoir 108,115.8371686,31.69215115,115.8363306,31.68925537
Reservoir 108,115.8402881,31.63248969,115.840823,31.63287733
Reservoir 108,115.7578729,31.53554009,115.7553033,31.5340823
Reservoir 109,112.9345104,31.65249303,112.9357846,31.65209748
Reservoir 109,112.9371324,31.6444596,112.9362176,31.64362798
Reservoir 109,112.9494404,31.64304584,112.9478604,31.64204789
Reservoir 109,112.9359681,31.6391372,112.9335713,31.63926397
Reservoir 109,112.9519993,31.63487142,112.951501,31.63421563
Reservoir 109,112.9431201,31.63040514,112.9426211,31.63131993
Reservoir 109,112.935809,31.62533271,112.9365755,31.62490645
Reservoir 110,116.0133255,31.61499213,116.0175,31.61332275
Reservoir 110,116.0575897,31.55443658,116.0556902,31.55310981
Reservoir 110,116.0686008,31.54362142,116.0666394,31.54274658
Reservoir 110,116.0238942,31.46444987,116.0234385,31.4647168
Reservoir 111,105.5444513,31.66595188,105.5482686,31.66363715
Reservoir 111,105.6397401,31.53859321,105.6400557,31.54045139
Reservoir 111,105.6574746,31.5424745,105.6581432,31.54224772
Reservoir 111,105.6660999,31.54583333,105.6661619,31.54506212
Reservoir 112,113.7223611,31.63708333,113.7244279,31.63641249
Reservoir 112,113.6639035,31.62221625,113.6638504,31.62273817
Reservoir 112,113.6128177,31.59135525,113.6140278,31.59097222
Reservoir 112,113.6218693,31.54555013,113.6213346,31.54490641
Reservoir 113,112.7922436,31.4446901,112.7897491,31.44247232
Reservoir 114,119.3679706,31.40081353,119.3687058,31.39663167
Reservoir 115,116.2769359,31.33881375,116.2758009,31.33605062
Reservoir 116,113.2188951,31.3959432,113.2204755,31.39528049
Reservoir 116,113.2814044,31.34831787,113.2801915,31.34805556
Reservoir 117,119.4242643,31.32122993,119.4250027,31.31970812
Reservoir 117,119.4055811,31.25669217,119.4059722,31.25652778
Reservoir 117,119.4076584,31.24756375,119.41125,31.24736111
Reservoir 118,116.662742,31.33057834,116.6636655,31.33010254
Reservoir 118,116.6945775,31.30439562,116.6938711,31.30488336
Reservoir 118,116.7011331,31.29032878,116.7029167,31.29013889
Reservoir 118,116.7873301,31.297956,116.7875391,31.29654161
Reservoir 118,116.7907852,31.29641168,116.7916379,31.29526177
Reservoir 118,116.7410921,31.2936084,116.7405583,31.29305284
Reservoir 118,116.764101,31.29241509,116.7643039,31.29138889
Reservoir 118,116.713318,31.31896077,116.7129074,31.31979004
Reservoir 119,114.5616531,31.37497125,114.5616699,31.37415256
Reservoir 120,119.5705431,31.2426218,119.5713965,31.24223009
Reservoir 121,114.8366694,31.2888916,114.8372217,31.28831679
Reservoir 121,114.8725396,31.19099148,114.8721045,31.19162164
Reservoir 122,114.7577724,31.22958333,114.7577865,31.22888048
Reservoir 123,114.304289,31.14071102,114.3051119,31.13895485
Reservoir 124,114.4516965,31.1417117,114.4522268,31.1386027
Reservoir 124,114.4698305,31.06361708,114.4715278,31.06347222
Reservoir 124,114.4677932,31.062095,114.4683575,31.06161784
Reservoir 125,115.1275778,31.02812771,115.1281079,31.02649414
Reservoir 125,115.1197952,31.01737766,115.1215278,31.01708333
Reservoir 125,115.1077624,31.01548096,115.1073494,31.01609565
Reservoir 125,115.0884516,31.01571506,115.0889535,31.01614746
Reservoir 126,112.029494,31.06857666,112.0302869,31.06775146
Reservoir 126,112.0352625,31.05970676,112.0356944,31.05958333
Reservoir 126,112.0266614,31.05139431,112.026159,31.05085205
Reservoir 126,112.0130326,31.03665256,112.0119474,31.0369732
Reservoir 126,112.0011214,31.02954942,112.0020193,31.02935574
Reservoir 126,112.0303464,31.0282392,112.0300153,31.02757595
Reservoir 126,112.003331,31.02529297,112.0056944,31.02513889
Reservoir 126,112.0068523,31.02519694,112.0082163,31.02470188
Reservoir 126,112.0157853,31.02371501,112.0146703,31.02329617
Reservoir 126,112.0340057,31.02324788,112.033045,31.02200331
Reservoir 126,112.0307315,31.02200873,112.0302287,31.02257161
Reservoir 126,112.0069035,31.02324327,112.0039048,31.02366564
Reservoir 126,111.9950179,31.00720106,111.9965921,31.00598606
Reservoir 126,112.0877523,31.01525228,112.0881944,31.01513889
Reservoir 127,113.0386084,31.05083062,113.0388973,31.04998589
Reservoir 127,113.0579286,31.02649957,113.0572727,31.02593424
Reservoir 128,105.0110795,30.94163235,105.0117181,30.94086154
Reservoir 129,108.6393971,31.13219217,108.6497482,31.12245897
Reservoir 130,111.0744444,30.86821846,111.0786644,30.86774957
Reservoir 131,115.0455231,30.76135254,115.0436056,30.76042209
Reservoir 132,106.6042225,30.72610569,106.6052926,30.72553955
Reservoir 132,106.6174809,30.71530979,106.6156786,30.71530138
Reservoir 133,111.7380503,30.70252577,111.7374902,30.70083008
Reservoir 134,115.5844476,30.68443061,115.5856799,30.68383274
Reservoir 134,115.5223611,30.62597222,115.5224954,30.62699816
Reservoir 134,115.5072274,30.63657959,115.5069598,30.63751546
Reservoir 134,115.4900507,30.59160482,115.490782,30.58978543
Reservoir 135,119.4611318,30.53990905,119.4621783,30.53896276
Reservoir 136,118.1694306,30.45779188,118.1707216,30.45691678
Reservoir 136,118.1705374,30.43055935,118.1709771,30.42977159
Reservoir 136,118.0594265,30.40581543,118.0584899,30.40702908
Reservoir 136,117.939225,30.28562337,117.94125,30.28541667
Reservoir 137,116.0704197,30.55368652,116.072263,30.55333605
Reservoir 137,116.2164602,30.49033122,116.2170833,30.49013889
Reservoir 137,116.1943056,30.52208333,116.1944189,30.52308105
Reservoir 137,116.1795341,30.51472928,116.1778735,30.5149821
Reservoir 138,110.9197448,30.47206788,110.9258342,30.47183367
Reservoir 138,110.9874038,30.43323706,110.9855564,30.43178464
Reservoir 138,110.9888558,30.40637804,110.9901389,30.40625
Reservoir 139,105.1965565,30.2784554,105.197846,30.27803711
Reservoir 140,111.5963036,30.156148,111.5973973,30.15576497
Reservoir 141,111.541539,29.9914118,111.5419417,29.99049193
Reservoir 141,111.5392896,29.98030132,111.538323,29.98001033
Reservoir 141,111.4763561,29.96054782,111.4767611,29.95958333
Reservoir 142,113.9136331,29.97013889,113.9136054,29.96943989
Reservoir 143,107.2791637,30.04528622,107.2791806,30.04445246
Reservoir 143,107.2830659,29.96395548,107.2833743,29.96253019
Reservoir 143,107.2658287,29.91945013,107.2649951,29.91917236
Reservoir 143,107.2493056,29.91625,107.2491227,29.91725217
Reservoir 143,107.2871967,29.95747457,107.2879167,29.95736111
Reservoir 144,114.7614247,29.81327169,114.7627827,29.81196701
Reservoir 144,114.7832335,29.8003231,114.7834722,29.80013889
Reservoir 144,114.8079058,29.79429496,114.8081944,29.79402778
Reservoir 144,114.8327995,29.79881675,114.8323964,29.79655468
Reservoir 144,114.8397276,29.79753487,114.8409722,29.79736111
Reservoir 144,114.8440424,29.80019894,114.8436334,29.79782113
Reservoir 144,114.8466922,29.79780321,114.8470123,29.79694812
Reservoir 144,114.8433436,29.79639921,114.8430089,29.79855874
Reservoir 144,114.8389746,29.79527507,114.8379422,29.7955402
Reservoir 144,114.8595833,29.79430556,114.8597119,29.7952881
Reservoir 144,114.8675152,29.79280412,114.8678977,29.78973168
Reservoir 144,114.8711263,29.79001536,114.8713938,29.78908088
Reservoir 144,114.8646967,29.78886346,114.8642735,29.78999502
Reservoir 144,114.8772477,29.78835876,114.8774745,29.78691901
Reservoir 144,114.8834701,29.78680339,114.8838433,29.78606554
Reservoir 144,114.890561,29.78647851,114.8915039,29.78418291
Reservoir 144,114.9136811,29.7852093,114.9133057,29.78333518
Reservoir 144,114.8595833,29.78680556,114.859439,29.78757882
Reservoir 144,114.8490234,29.78807092,114.8495356,29.78836092
Reservoir 144,114.8472374,29.79026242,114.8474848,29.79320079
Reservoir 144,114.8356944,29.79208333,114.8360493,29.79300707
Reservoir 144,114.8520833,29.79458333,114.852615,29.79575061
Reservoir 144,114.8224875,29.79666085,114.8214887,29.7972119
Reservoir 144,114.8014871,29.77792547,114.8011263,29.77573802
Reservoir 144,114.793565,29.76731979,114.7948611,29.76708333
Reservoir 144,114.8099821,29.79998169,114.8069982,29.80192656
Reservoir 145,111.5061054,29.81110609,111.5073093,29.81028307
Reservoir 146,111.5263805,29.72167218,111.5278513,29.71945711
Reservoir 146,111.5326,29.71429036,111.5338992,29.71389923
Reservoir 146,111.5088087,29.71615628,111.5064475,29.71676222
Reservoir 147,114.761728,29.71806847,114.7633198,29.71803599
